"filename", "language", "XML", "JSON", "YAML", "Dart", "Markdown", "Groovy", "Properties", "C++", "HTML", "Swift", "comment", "blank", "total"
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/allViews/all_views.dart", "Dart", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 8, 128
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/constants/colors.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/enum/calling_status.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/screens/one_to_one_meeting_screen.dart", "Dart", 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 20, 23, 290
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/utils/api.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 6, 16, 84
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/utils/keys.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/utils/meeting_methods.dart", "Dart", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 3, 10, 121
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/utils/spacer.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 5, 24
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/utils/toast.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/joining/waiting_to_join.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/meeting_controls/meeting_action_one_to_one.dart", "Dart", 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 6, 14, 207
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/participant/participant_list.dart", "Dart", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 10, 95
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/participant/participant_list_item.dart", "Dart", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 1, 11, 119
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/stats/call_stats.dart", "Dart", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 1, 11, 137
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/common/stats/call_stats_bottom_sheet.dart", "Dart", 0, 0, 0, 263, 0, 0, 0, 0, 0, 0, 1, 14, 278
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/one-to-one/one_to_one_meeting_container.dart", "Dart", 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 7, 19, 301
